"","StemTag","sp","crown_living","broken_stem","defoliation","rot","wound","fire","insect","canker","leaf_damage","hollow_stem","overtopped","animal","lightning","fungi","crushed","bark_beetles","unknown","postfire_leaf_loss","water","bai","ba_m_2019","idw_con","idw_het"
"6313",2121028,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,18.9823092524378,0.0219039693789914,459.216074173724,104.046967162316
"6314",2121029,"PIPA",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,2.75855538636698,0.00541060794764502,514.845978259889,145.163269230916
"6315",2121031,"QULA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,-3.04694981312352,0.0471435247579318,0,501.471188818351
"6316",2121032,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,1.12066312571159,0.00057255526111674,487.519218331354,171.024669193962
"6317",2121033,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,2.65824428140818,0.00817128249198705,383.345378849752,144.982292593393
"6318",2121034,"PIPA",78,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,1.31658325258424,0.00352565235549115,488.729129446961,114.483396948238
"6319",2121035,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,5.57196840825831,0.00967689077121996,586.473509901288,66.0528708627563
"6320",2121037,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,12.361776325157,0.00833228911548353,192.883898910936,68.8316566967687
"6321",2121038,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,6.99669957087623,0.059395736106932,400.538184989463,42.422579260508
"6322",2121040,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.1064,4.57669416374526,0.103491130592718,317.739559654312,40.5481975196401
"6323",2121041,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,1.09088326642694,0.00041547562843725,760.58530915356,32.9393799209778
"6324",2121042,"QULA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,0.898097861584247,0.00693977817177985,42.1288032337909,477.493649442945
"6325",2121043,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,7.7537349411122,0.0147411381288067,795.776240805862,35.1404816568886
"6326",2121046,"PIPA",67,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.192,-0.550143716258415,0.00282743338823081,990.92657838279,34.8700837159794
"6327",2121047,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,9.24899734940433,0.137227908701456,615.509803267065,72.8508138809683
"6328",2121049,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,1.49996449133705,0.0196066797510539,1109.53590348544,0
"6329",2121050,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,4.38861084194754,0.0951148591800846,820.27058910058,0
"6330",2121051,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,3.07202758936321,0.0463769761504559,1107.6386214993,70.7247771434096
"6331",2121053,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,2.36358041059166,0.111036450748478,765.727932872829,96.8297183077819
"6332",2121054,"PIPA",100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12.192,15.1610830979135,0.059828490494964,891.248978305281,0
"6333",2121055,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,2.82124982696624,0.0169716689128555,1025.59022500682,0
"6334",2123012,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,10.2583778430522,0.06696618900392,421.351934305355,39.8723124661128
"6335",2123013,"PIPA",71,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,0,0.00899202357273739,789.036401945498,0
"6336",2123014,"PIPA",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,9.22391957316462,0.0539128715282544,472.33188471528,7.7988765242196
"6337",2123015,"PIPA",98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,16.3005545558049,0.0490873852123405,770.685573668757,9.75031261899002
"6338",2123016,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,3.03597828601866,0.0036316811075498,820.006381644816,34.0834245178332
"6339",2123017,"PIPA",100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,13.4112,3.70994352246059,0.0126676869774374,1001.31241601444,27.6609829989606
"6340",2123018,"QULA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,6.15032462278638,0.00785398163397448,112.900257352825,421.004984471114
"6341",2123019,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,15.038828938745,0.0463769761504559,730.853981391647,41.9734330656711
"6342",2123020,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0.708447178771525,0.00985203456165759,1135.54816507779,43.633150964012
"6343",2123021,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,12.7379429687525,0.0263021990940171,842.261325001686,40.4073513932001
"6344",2123022,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,6.0735239330523,0.00331830724035422,346.017638780085,204.372599834498
"6345",2123023,"QULA",100,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12.192,27.0839983388758,0.0138929081123375,105.883627751635,395.763708757027
"6346",2123024,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,8.4778557300335,0.0688134454842309,377.817205469668,60.234056755442
"6347",2123026,"QULA",72,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,12.192,1.25388881198499,0.0075429639612691,172.496684920954,400.803904539597
"6348",2123029,"PIPA",97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,9.63770288111965,0.041547562843725,251.360123837589,219.293190453939
"6349",2123031,"QULA",100,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,12.192,5.61898923870774,0.00985203456165759,112.613774743744,459.750926301028
"6350",2123033,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0.58149093655804,0.00041547562843725,384.124377883575,371.150845782223
"6351",2123034,"QULA",100,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,12.192,0.952955497108596,0.0179078635236252,173.356834202263,392.637914164308
"6352",2123036,"PIPA",100,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12.192,24.9273095822616,0.057255526111674,415.170813055634,187.798797745743
"6353",2123037,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,-0.130090964243443,0.0013854423602331,359.158599840652,1029.41610846996
"6354",2123038,"QULA",63,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,12.192,4.96069761241563,0.0774371173183348,77.3613496540628,396.459436082536
"6355",2123039,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0.69590829065167,0.00090792027688745,492.704115413853,284.000195124285
"6356",2123040,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,1.66923948095502,0.000615752160103599,367.903051297599,1538.44236808412
"6357",2123041,"PIPA",100,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,12.192,0.136360408303369,0.00145220120412188,675.22872109472,142.567700668577
"6358",2123042,"PIPA",93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,2.73191024911232,0.0655972400051183,520.81141531687,92.554446173797
"6359",2123043,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0,0.00101787601976309,452.759260382012,218.500614739192
"6360",2123046,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,14.2316380160296,0.0369836141162224,364.119953480502,260.084441877662
"6361",2301001,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,0,0.000490873852123405,509.575167206884,222.195669966888
"6362",2301002,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,16.2882301033404,0.0248845554090848,346.594817956777,271.380470384241
"6363",2301003,"QULA",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,4.08268952981901,0.0196066797510539,174.88578842942,382.236672307486
"6364",2301004,"PIPA",100,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,7.52430859720115,0.0136847775990371,466.540398660754,247.504953949519
"6365",2301005,"QULA",70,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,0,0.00636172512351933,306.407673449426,434.899555259052
"6366",2301006,"QULA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8016,0.297696111549299,0.00693977817177985,271.964248858276,422.440805578711
"6367",2301018,"QULA",80,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,3.62905735983911,0.0280552077947202,117.118384055282,513.934262608042
"6368",2301034,"QULA",88,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0.647370909242132,0.00352565235549115,267.306299695145,296.219720915993
"6369",2301039,"QULA",94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,2.39416978600497,0.00650388219109427,270.604627185685,271.207053918752
"6370",2301047,"QULA",86,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0.541838425253754,0.00567450173054657,279.309656862325,310.035860662753
"6371",2301065,"QULA",100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0.793856297464805,9.50331777710913e-05,266.356550230855,266.32536594246
"6372",2301072,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11.8872,0.505610856123418,0.0021237166338267,235.177110645936,300.731507351133
"6373",2301074,"PIPA",99,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,9.77199299498344,0.0132732289614169,411.298749327474,311.59827496006
"6374",2301075,"QULA",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,1.48690544604519,0.00237582944427728,255.795995205909,151.212491616076
"6375",2301076,"QULA",92,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,1.84130557884198,0.00502654824574367,267.530892540453,211.333795310655
"6376",2301077,"PIPA",89,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,0.225240973288626,0.00395919214168654,492.828709736779,334.613088953705
"6377",2301078,"PIPA",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,0.617443786917074,0.00738981131940659,444.428722003804,364.653012185963
"6378",2301080,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,1.06320039839036,0.000855298599939821,347.946422052473,365.469264239621
"6379",2301081,"QULA",98,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,0.793856297464805,9.50331777710913e-05,211.07068789441,397.750560839017
"6380",2301082,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,4.3221065084195,0.000962112750161874,219.847870863316,250.661757911137
"6381",2301083,"QULA",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0.244142313704454,0.000132732289614169,251.878661290533,273.76259002375
"6382",2301084,"QULA",95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.192,0.228391196691263,0.000113097335529233,246.226310270729,276.867471398896
"6383",2301085,"QULA",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8872,0.228391196691263,0.000113097335529233,249.599944046554,179.426433140417
"6384",2301089,"QULA",95,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,5.99802535862297,0.00967689077121996,133.876944820346,735.645734399386
"6385",2301091,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,0.340224127484917,0.00220618344098343,368.907700081375,344.305363455389
"6386",2301092,"PIPA",97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,14.8690544604519,0.0401149965936881,705.157243545653,401.414273999109
"6387",2301093,"PIPA",96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,1.91376071710266,0.0111220233918713,1506.8867872889,381.676316855173
"6388",2301095,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,11.9645484832196,0.0320473866592695,1368.38182529523,394.831684901408
"6389",2301096,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,1.59873837683884,0.00769768739945839,2408.8911136476,409.164447621316
"6390",2301097,"PIPA",94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,6.60129314022818,0.0268802521422777,1508.80352076654,414.638085038548
"6391",2301098,"PIPA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,3.43374350887555,0.0084948665353068,754.482569047922,389.355036334818
"6392",2301099,"QULA",85,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,8.21578263408021,0.0188691908756237,160.975486703019,970.451456471869
"6393",2301100,"QULA",100,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,1.77200066398394,0.000706858347057703,326.635678753749,294.683721574049
"6394",2301101,"QULA",100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,0.883637664439992,0.000314159265358979,307.968831427693,233.494822810233
"6395",2301102,"QULA",90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4968,10.6713817764366,0.01188228881404,202.502263130702,307.148417221553
